State/Province,County,City,Zip,Distance,Materials,Size,Category,Rental Length,Client Type,Pricing Type,Weight Allowance in Tons,Client Cost,Failed Client Cost,Cost per Ton Over,Cost per Day Over,Delivery Fee,Fuel Surcharge,Fuel Surcharge Percent,Task Type,Dump Location,Labor Cost,Material Cost,Equipment Cost,Taxable,Name,Description
California,,,91316; 91356; 91357; 91364; 91365; 91403; 91416; 91426; 91436,,,40,40 Yard,8,Residential,,1,650,,120,40,,,,,,,,,No,D - 40 Yard Dumpster,"*Dimensions: 8W x 6T x 22L* (exact size may vary) Weight Included: 1 ton Overweight Charges: $120/ton Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - No more than (15) wheelbarrows of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 1 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,3,3 Yard,8,Contractor,,0.8,265.59,,320,25,,,,,,,,,No,D - 3 Yard Dumpster,"**THIS DUMPSTER DOES NOT HAVE WHEELS OR LIDS** If you want wheels and lids please select the 3yd with wheels and lids. Dimensions: 4W x 4T x 6L* (exact size may vary) Weight Included: 800lbs Overweight Charges: $16 per 100lbs Rental period: 8 days Additional Days: $25 each RESTRICTIONS: - No more than (2) wheelbarrow of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 800lbs limit, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,3,3 Yard,8,Residential,,0.8,265.59,,320,25,,,,,,,,,No,D - 3 Yard Dumpster,"**THIS DUMPSTER DOES NOT HAVE WHEELS OR LIDS** If you want wheels and lids please select the 3yd with wheels and lids. Dimensions: 4W x 4T x 6L* (exact size may vary) Weight Included: 800lbs Overweight Charges: $16 per 100lbs Rental period: 8 days Additional Days: $25 each RESTRICTIONS: - No more than (2) wheelbarrow of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 800lbs limit, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,3,3 Yard With Wheels,8,Contractor,,0.65,301.85,,320,25,,,,,,,,,No,D - 3 Yard Dumpster with Lids & Wheels,"Dimensions: 4W x 4T x 6L* (exact size may vary) Weight Included: 800lbs Overweight Charges: $16 per 100lbs Rental period: 8 days Additional Days: $25 each The 3yd with wheels and lids can be moved around after being placed down by the truck RESTRICTIONS: - No heavy construction material such as dirt, concrete, brick, rock, etc. - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.) - If you move the dumpster from the spot that the driver dropped it off, you must move it back before removal."
California,,,90290; 91301; 91302; 91372,,,3,3 Yard With Wheels,8,Residential,,0.65,301.85,,320,25,,,,,,,,,No,D - 3 Yard Dumpster with Lids & Wheels,"Dimensions: 4W x 4T x 6L* (exact size may vary) Weight Included: 800lbs Overweight Charges: $16 per 100lbs Rental period: 8 days Additional Days: $25 each The 3yd with wheels and lids can be moved around after being placed down by the truck RESTRICTIONS: - No heavy construction material such as dirt, concrete, brick, rock, etc. - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.) - If you move the dumpster from the spot that the driver dropped it off, you must move it back before removal."
California,,,90290; 91301; 91302; 91372,,,9,9 Yard,8,Contractor,,1,426,,120,40,,,,,,,,,No,D - 9 Yard Dumpster,"Dimensions: 6W x 4T x 10L* (exact size may vary) Weight Included: 1 ton Overweight Charges: $120/ton  Rental period: 8 days Additional Days: $40 each The 9cuyd dumpster can fit in most garages and carports! Perfect for fitting into tight spaces RESTRICTIONS: - No more than (5) wheelbarrow of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 1 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,9,9 Yard,8,Residential,,1,426,,120,40,,,,,,,,,No,D - 9 Yard Dumpster,"Dimensions: 6W x 4T x 10L* (exact size may vary) Weight Included: 1 ton Overweight Charges: $120/ton  Rental period: 8 days Additional Days: $40 each The 9cuyd dumpster can fit in most garages and carports! Perfect for fitting into tight spaces RESTRICTIONS: - No more than (5) wheelbarrow of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 1 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,Clean Inert,10,10 Yard Clean,8,Contractor,,13,714.29,,120,40,,,,,,,,,No,"D - 10 Yard ""Low Boy"" Clean Inert Material Only Dumpster","Dimensions: 8W x 2T x 18L* (exact size may vary) Weight Included: Unlimted. Sorting Fee: $95-$150. Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - Single inert material (dirt, rock, OR concrete) - If you mix (2) or more inert materials it becomes a clean mixed load and a sorting fee will be charged - Any materials other than dirt, rock, or concrete will make it a mixed trash load and the inclusion will go down to 1 tons and overloads will be charged at the rate of $120/ton for general trash and $130/ton for construction and demolition. (NOTE: Grass and brick are considered trash and are charged by the ton) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,Clean Inert,10,10 Yard Clean,8,Residential,,13,714.29,,120,40,,,,,,,,,No,"D - 10 Yard ""Low Boy"" Clean Inert Material Only Dumpster","Dimensions: 8W x 2T x 18L* (exact size may vary) Weight Included: Unlimted. Sorting Fee: $95-$150. Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - Single inert material (dirt, rock, OR concrete) - If you mix (2) or more inert materials it becomes a clean mixed load and a sorting fee will be charged - Any materials other than dirt, rock, or concrete will make it a mixed trash load and the inclusion will go down to 1 tons and overloads will be charged at the rate of $120/ton for general trash and $130/ton for construction and demolition. (NOTE: Grass and brick are considered trash and are charged by the ton) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,Mixed Trash,10,10 Yard,8,Contractor,,1,552.53,,120,40,,,,,,,,,No,D - 10 Yard Dumpster,"Dimensions: 8W x 2T x 18L* (exact size may vary) Weight Included: 1 ton  Sorting Fee: $95-$150 Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - Single inert material (dirt, rock, OR concrete) - If you mix (2) or more inert materials it becomes a clean mixed load and a sorting fee will be charged - Any materials other than dirt, rock, or concrete will make it a mixed trash load and the inclusion will go down to 1 ton and overloads will be charged at the rate of $120/ton for general trash and $130/ton for construction and demolition. (NOTE: Grass and brick are considered trash and are charged by the ton) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,Mixed Trash,10,10 Yard,8,Residential,,1,552.53,,120,40,,,,,,,,,No,D - 10 Yard Dumpster,"Dimensions: 8W x 2T x 18L* (exact size may vary) Weight Included: 1 ton  Sorting Fee: $95-$150 Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - Single inert material (dirt, rock, OR concrete) - If you mix (2) or more inert materials it becomes a clean mixed load and a sorting fee will be charged - Any materials other than dirt, rock, or concrete will make it a mixed trash load and the inclusion will go down to 1 ton and overloads will be charged at the rate of $120/ton for general trash and $130/ton for construction and demolition. (NOTE: Grass and brick are considered trash and are charged by the ton) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,16,16 Yard,8,Contractor,,1,582.53,,120,40,,,,,,,,,No,D - 16 Yard Dumpster,"*Dimensions: 8W x 4T x 14L* (exact size may vary) Weight Included: 1 ton Overweight Charges: $120/ton Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - No more than (8) wheelbarrow of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 1 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,16,16 Yard,8,Residential,,1,582.53,,120,40,,,,,,,,,No,D - 16 Yard Dumpster,"*Dimensions: 8W x 4T x 14L* (exact size may vary) Weight Included: 1 ton Overweight Charges: $120/ton Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - No more than (8) wheelbarrow of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 1 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,25,25 Yard,8,Contractor,,2,680.03,,120,40,,,,,,,,,No,D - 25 Yard Dumpster,"*Dimensions: 8W x 6T x 15L* (exact size may vary) Weight Included: 2 tons Overweight Charges: $120/ton Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - No more than (15) wheelbarrows of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 2 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,25,25 Yard,8,Residential,,1,604.03,,120,40,,,,,,,,,No,D - 25 Yard Dumpster,"*Dimensions: 8W x 6T x 15L* (exact size may vary) Weight Included: 1 ton Overweight Charges: $120/ton Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - No more than (15) wheelbarrows of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 1 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,40,40 Yard,8,Contractor,,3,868.92,,120,40,,,,,,,,,No,D - 40 Yard Dumpster,"*Dimensions: 8W x 6T x 22L* (exact size may vary) Weight Included: 3 tons Overweight Charges: $120/ton Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - No more than (15) wheelbarrows of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 3 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,90290; 91301; 91302; 91372,,,40,40 Yard,8,Residential,,1,692.37,,120,40,,,,,,,,,No,D - 40 Yard Dumpster,"*Dimensions: 8W x 6T x 22L* (exact size may vary) Weight Included: 1 ton Overweight Charges: $120/ton Rental period: 8 days Additional Days: $40 each RESTRICTIONS: - No more than (15) wheelbarrows of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 1 ton inclusion, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,91413; 91423; 91424; 91504; 91505; 91506; 91507; 91508; 91510; 91521; 91522; 91523; 91526; 91601; 91602; 91603; 91604; 91606; 91607; 91608; 91609; 91611; 91612; 91614,,,3,3 Yard,8,Contractor,,0.8,240.8,,320,25,,,,,,,,,No,D - 3 Yard Dumpster,"**THIS DUMPSTER DOES NOT HAVE WHEELS OR LIDS** If you want wheels and lids please select the 3yd with wheels and lids. Dimensions: 4W x 4T x 6L* (exact size may vary) Weight Included: 800lbs Overweight Charges: $16 per 100lbs Rental period: 8 days Additional Days: $25 each RESTRICTIONS: - No more than (2) wheelbarrow of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 800lbs limit, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
California,,,91413; 91423; 91424; 91504; 91505; 91506; 91507; 91508; 91510; 91521; 91522; 91523; 91526; 91601; 91602; 91603; 91604; 91606; 91607; 91608; 91609; 91611; 91612; 91614,,,3,3 Yard,8,Residential,,0.8,240.8,,320,25,,,,,,,,,No,D - 3 Yard Dumpster,"**THIS DUMPSTER DOES NOT HAVE WHEELS OR LIDS** If you want wheels and lids please select the 3yd with wheels and lids. Dimensions: 4W x 4T x 6L* (exact size may vary) Weight Included: 800lbs Overweight Charges: $16 per 100lbs Rental period: 8 days Additional Days: $25 each RESTRICTIONS: - No more than (2) wheelbarrow of any heavy construction material such as dirt, concrete, brick, rock, etc. (This limitation does NOT mean that it will stay within the 800lbs limit, but that the truck can pick it up at removal) - Must be filled no more than level - No hazardous waste (ex. Chemicals, batteries, paint, fluorescent lights, oils, etc.) - No electronic waste (ex. Computers, monitors, printers, cell phones, etc.)"
